"Bike Product Names","List Price"
"Electra Sweet Ride 1 (20-inch) - Girl's - 2018",319.99
"Electra Sweet Ride 3i (20-inch) - Girls' - 2018",369.99
"Electra Tiger Shark 1 (20-inch) - Boys' - 2018",319.99
"Electra Tiger Shark 3i (20-inch) - Boys' - 2018",369.99
"Electra Tiger Shark 3i - 2018",899.99
"Electra Townie 3i EQ (20-inch) - Boys' - 2017",489.99
"Electra Townie 7D (20-inch) - Boys' - 2017",339.99
"Electra Townie Balloon 3i EQ - 2017/2018",749.99
"Electra Townie Balloon 3i EQ - 2017/2018",749.99
"Electra Townie Balloon 3i EQ Ladies' - 2018",799.99
"Electra Townie Balloon 3i EQ Ladies' - 2018",799.99
"Electra Townie Balloon 7i EQ - 2018",899.99
"Electra Townie Balloon 7i EQ - 2018",899.99
"Electra Townie Balloon 7i EQ Ladies' - 2017/2018",899.99
"Electra Townie Balloon 7i EQ Ladies' - 2017/2018",899.99
"Electra Townie Balloon 8D EQ - 2016/2017/2018",749.99
"Electra Townie Balloon 8D EQ - 2016/2017/2018",749.99
"Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018",749.99
"Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018",749.99
"Electra Townie Commute 27D - 2018",899.99
"Electra Townie Commute 27D - 2018",899.99
"Electra Townie Commute 27D Ladies - 2018",899.99
"Electra Townie Commute 27D Ladies - 2018",899.99
"Electra Townie Commute 8D - 2018",749.99
"Electra Townie Commute 8D - 2018",749.99
"Electra Townie Commute 8D Ladies' - 2018",699.99
"Electra Townie Commute 8D Ladies' - 2018",699.99
"Electra Townie Commute Go! - 2018",2999.99
"Electra Townie Commute Go! - 2018",2999.99
"Electra Townie Commute Go! Ladies' - 2018",2999.99
"Electra Townie Commute Go! Ladies' - 2018",2999.99
"Electra Townie Go! 8i - 2017/2018",2599.99
"Electra Townie Go! 8i - 2017/2018",2599.99
"Electra Townie Go! 8i - 2017/2018",2599.99
"Electra Townie Go! 8i Ladies' - 2018",2599.99
"Electra Townie Go! 8i Ladies' - 2018",2599.99
"Electra Townie Original 1 - 2018",449.99
"Electra Townie Original 1 Ladies' - 2018",449.99
"Electra Townie Original 21D - 2016",549.99
"Electra Townie Original 21D - 2016",549.99
"Electra Townie Original 21D - 2018",559.99
"Electra Townie Original 21D - 2018",559.99
"Electra Townie Original 21D EQ - 2017/2018",679.99
"Electra Townie Original 21D EQ - 2017/2018",679.99
"Electra Townie Original 21D EQ Ladies' - 2018",679.99
"Electra Townie Original 21D EQ Ladies' - 2018",679.99
"Electra Townie Original 21D Ladies' - 2018",559.99
"Electra Townie Original 21D Ladies' - 2018",559.99
"Electra Townie Original 3i EQ - 2017/2018",659.99
"Electra Townie Original 3i EQ Ladies' - 2018",639.99
"Electra Townie Original 7D - 2015/2016",499.99
"Electra Townie Original 7D - 2017",489.99
"Electra Townie Original 7D - 2017",489.99
"Electra Townie Original 7D EQ - 2016",599.99
"Electra Townie Original 7D EQ - 2016",599.99
"Electra Townie Original 7D EQ - 2018",599.99
"Electra Townie Original 7D EQ - Women's - 2016",599.99
"Electra Townie Original 7D EQ Ladies' - 2017/2018",599.99
"Electra Treasure 1 20" - 2018",319.99
"Electra Treasure 3i 20" - 2018",369.99
"Electra White Water 3i - 2018",749.99
"Haro Downtown 16 - 2017",329.99
"Haro Flightline One ST - 2017",379.99
"Haro Flightline Two 26 Plus - 2017",549.99
"Haro Shift R3 - 2017",1469.99
"Haro SR 1.1 - 2017",539.99
"Haro SR 1.2 - 2017",869.99
"Haro SR 1.3 - 2017",1409.99
"Heller Bloodhound Trail - 2018",2599.00
"Heller Shagamaw Frame - 2016",1320.99
"Heller Shagamaw GX1 - 2018",2599.00
